Ano;Temperatura Minima Media;Temperatura Minima Absoluta;Temperatura Minima Dia;Temperatura Maxima Media;Temperatura Maxima Absoluta;Temperatura Maxima Dia;Temperatura Media Climatologica;Temperatura Media Aritmetica;Cantidad de Datos
2023;6.2 ;1.5 ;3;16.9 ;25.9 ;29;11.0;11.0;31
2022;3.2 ;-0.6 ;7;15.0 ;23.8 ;29;8.1;8.1;31
2021;2.9 ;-0.5 ;17;19.2 ;28.3 ;20;9.4;9.4;31
2020;. ;. ;. ;14.9 ;23.0 ;14;.;11.5;31
2019;3.6 ;-1.8 ;23;16.2 ;23.4 ;30;9.9;11.7;31
2018;3.2 ;-2.2 ;20;16.0 ;26.0 ;13;9.6;11.0;31
2017;3.8 ;-3.4 ;17;16.5 ;26.2 ;1;10.1;11.7;31
2016;4.9 ;0.8 ;26;15.5 ;22.7 ;27;10.2;11.5;31
2015;4.9 ;-0.8 ;20;16.0 ;23.6 ;24;10.4;11.4;31
2014;5.1 ;-0.8 ;24;15.7 ;25.4 ;18;10.4;11.3;31
2013;3.6 ;-3.5 ;22;16.2 ;24.4 ;24;9.9;11.3;31
2012;2.8 ;-1.0 ;6;16.4 ;27.4 ;18;9.6;11.1;31
2011;2.1 ;-2.9 ;2;14.8 ;25.9 ;23;8.5;10.8;31
2010;1.7 ;-1.6 ;13;13.4 ;21.8 ;1;7.5;8.9;31
2009;2.9 ;-2.8 ;23;15.6 ;22.2 ;16;9.2;12.0;31
2008;4.0 ;0.8 ;5;15.1 ;21.8 ;3;9.6;11.9;31
2007;3.2 ;-3.0 ;10;13.8 ;21.6 ;26;8.5;10.4;31
2006;6.0 ;-0.2 ;27;16.5 ;25.4 ;19;11.3;13.2;31
2005;4.4 ;-0.2 ;22;15.8 ;23.4 ;25;10.1;12.3;31
2004;4.3 ;0.2 ;10;15.7 ;23.8 ;30;10.0;12.2;31
2003;2.9 ;-2.1 ;23;15.5 ;24.8 ;29;9.2;11.9;31
2002;3.9 ;-1.6 ;25;16.5 ;26.8 ;13;10.2;12.3;31
2001;6.0 ;-1.2 ;26;14.8 ;24.8 ;5;10.4;11.8;31
2000;3.5 ;-1.8 ;11;16.2 ;23.2 ;26;9.9;12.4;31
1999;2.3 ;-2.8 ;16;15.4 ;26.9 ;27;8.8;11.5;31
1998;3.1 ;-1.3 ;13;15.9 ;23.6 ;9;9.5;11.8;31
1997;5.0 ;-0.2 ;1;16.4 ;23.2 ;23;10.7;12.9;31
1996;4.6 ;1.7 ;9;18.0 ;27.2 ;30;11.3;13.8;31
1995;3.6 ;-2.1 ;16;13.3 ;23.6 ;20;8.4;10.0;31
1994;3.1 ;-3.6 ;. ;14.3 ;21.6 ;. ;8.7;11.2;31
1993;1.9 ;-3.0 ;. ;14.3 ;21.4 ;. ;8.1;10.7;30
1992;2.2 ;-1.4 ;. ;12.8 ;21.4 ;. ;7.5;9.9;31
1991;4.6 ;-1.0 ;. ;14.3 ;21.0 ;. ;9.4;11.3;31
1990;3.3 ;-1.6 ;. ;15.5 ;27.0 ;. ;9.4;11.9;31
1989;3.1 ;-2.0 ;. ;15.9 ;28.0 ;. ;9.5;11.3;31
1988;2.9 ;-2.8 ;7;14.8 ;25.0 ;11;8.9;10.4;31
1987;3.9 ;-0.2 ;. ;14.1 ;24.0 ;. ;9.0;10.5;31
1986;3.9 ;-0.1 ;. ;17.4 ;26.0 ;. ;10.7;12.2;31
1985;3.5 ;-1.2 ;. ;13.9 ;21.4 ;. ;8.7;10.2;31
1984;3.1 ;-1.8 ;. ;15.0 ;26.0 ;. ;9.1;10.9;31
1983;2.6 ;-1.6 ;. ;14.1 ;19.2 ;. ;8.4;9.8;31
1982;6.4 ;1.0 ;. ;13.8 ;23.0 ;. ;10.1;10.8;31
1981;3.7 ;-1.2 ;. ;15.1 ;24.0 ;. ;9.4;11.2;31
1980;2.7 ;-2.0 ;. ;. ;. ;. ;.;.;.
1979;4.7 ;-1.0 ;. ;. ;. ;. ;.;12.4;31
1978;6.7 ;0.4 ;. ;. ;. ;. ;.;11.9;31
1977;3.1 ;-1.8 ;. ;12.6 ;20.0 ;. ;7.8;8.8;31
1976;3.1 ;-1.6 ;. ;15.4 ;25.5 ;. ;9.2;10.7;31
1975;3.3 ;-1.6 ;. ;13.6 ;24.0 ;. ;8.4;9.3;31
1974;. ;. ;. ;. ;. ;. ;.;8.9;31
1973;. ;. ;. ;13.5 ;23.0 ;. ;.;9.4;31
1972;. ;-4.0 ;. ;14.1 ;23.0 ;. ;.;9.4;31
1971;. ;. ;. ;. ;. ;. ;.;.;.
1970;3.5 ;-1.1 ;. ;14.4 ;24.2 ;. ;9.0;9.6;31
1969;4.4 ;-2.4 ;. ;15.7 ;24.3 ;. ;10.1;10.9;31
1968;3.8 ;-0.4 ;. ;16.8 ;26.6 ;. ;10.3;11.3;31
1967;2.1 ;-1.2 ;. ;13.5 ;21.6 ;. ;7.8;8.7;31
1966;. ;. ;. ;. ;. ;. ;.;.;.
1965;. ;. ;. ;. ;. ;. ;.;.;.
1964;1.3 ;-3.0 ;. ;. ;. ;. ;.;.;.
1963;4.4 ;1.0 ;. ;. ;. ;. ;.;.;.
1962;2.7 ;-2.0 ;. ;. ;. ;. ;.;.;.
1961;. ;. ;. ;. ;. ;. ;.;.;.
1960;1.7 ;-5.2 ;. ;. ;. ;. ;.;.;.
1959;3.7 ;-1.8 ;. ;. ;. ;. ;.;.;.
1958;3.2 ;-2.0 ;. ;. ;. ;. ;.;.;.
1957;1.1 ;-4.0 ;. ;. ;. ;. ;.;.;.
1956;2.1 ;-1.0 ;. ;. ;. ;. ;.;.;.
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
